"Account Type","Account Name","Account Code","Parent Account","Normal Balance","Account Role","Live Zoho Status","Recommended Zoho Status","Tax / Reporting Mapping","Description","Existing Account ID"
"Equity","Member Capital Contributions","3000.01","Member's Equity","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Cash or property permanently contributed by the member. Excludes documented loans expected to be repaid.","PUBLIC-ACCT-0135"
"Equity","Opening Balance Offset","3030","","Normally Zero / Mixed","Zoho System / Migration","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho migration account used only to establish opening balances. Reconcile supporting opening entries and clear unexpected residual balances; avoid routine posting.","PUBLIC-ACCT-0009"
"Income","Rental Income","4000","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E – Rental Income","Schedule E top-level parent for rent, lease-cancellation amounts, tenant fees, reimbursements, and other tenant-derived rental income. Do not post directly; use a defined child account.","PUBLIC-ACCT-0010"
"Income","Pet Rent","4000.03","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Recurring additional rent charged under an approved pet agreement. Excludes refundable pet deposits.","PUBLIC-ACCT-0037"
"Income","Base Rent","4000.01","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Contractual rent earned for tenant occupancy, excluding separately stated pet rent, storage rent, fees, and reimbursements.","PUBLIC-ACCT-0112"
"Income","Storage Rent","4000.04","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Rent earned for tenant use of separately provided storage space.","PUBLIC-ACCT-0113"
"Income","Laundry Income","4000.05","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Revenue from tenant use of landlord-owned or landlord-operated laundry facilities.","PUBLIC-ACCT-0117"
"Income","Housing Assistance Rent","4000.02","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Rent paid by a housing authority or assistance program on behalf of a tenant.","PUBLIC-ACCT-0122"
"Income","Tenant Fee Income","4000.10","Rental Income","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E – Rental Income","Rental-income subgroup for lease-authorized late fees, returned-payment charges, application charges, payment-fee reimbursements, termination charges, and other defined tenant fees. Do not post directly.","PUBLIC-ACCT-0156"
"Income","Application / Processing Fee Income","4000.10.04","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E / Rental Income","Application or screening charges retained by GH Real Estate. Excludes amounts retained directly by a third party.","PUBLIC-ACCT-0038"
"Income","Late Fee Income","4000.10.01","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Lease-authorized late fees assessed on delinquent rent.","PUBLIC-ACCT-0039"
"Income","Returned Payment Fee Income","4000.10.02","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Lease-authorized charge for returned ACH or other failed tenant payments.","PUBLIC-ACCT-0116"
"Income","Other Tenant Fee Income","4000.10.08","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Infrequent lease-authorized tenant fees that do not fit another defined income account.","PUBLIC-ACCT-0118"
"Income","Early Termination / Lease Buyout Income","4000.10.05","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Amounts earned when a tenant pays to terminate or buy out a lease early.","PUBLIC-ACCT-0120"
"Income","Re-Leasing Advertising Reimbursement","4000.10.07","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Lease-authorized reimbursement of documented re-leasing advertising actually incurred after an early termination. Charge only when the lease and applicable law permit, with no markup; do not assess as a routine move-in or move-out fee.","PUBLIC-ACCT-0131"
"Income","Online Payment Fee Reimbursements","4000.10.06","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Tenant reimbursements of payment-processing costs only when permitted by the lease, payment rules, and applicable law. Record the tenant charge as income and the processor fee separately as expense.","PUBLIC-ACCT-0134"
"Income","Lease Termination Fee Income","4000.10.03","Tenant Fee Income","Credit","Posting Account","Active","Review – Define Distinct Charge or Inactivate","Schedule E / Rental Income","Use only for a distinct, signed-lease termination fee that does not overlap 4000.10.05 Early Termination / Lease Buyout Income. Otherwise clear, remap, and inactivate this account.","PUBLIC-ACCT-0157"
"Income","Repair And Damage Reimbursements","4000.11","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Tenant payments for chargeable repairs, cleaning, or damage. Record the related cost separately. For retained deposits, coordinate with 4000.13 and avoid duplicate income when applying a deposit to an existing receivable.","PUBLIC-ACCT-0158"
"Income","Other Tenant Reimbursements","4000.12","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Tenant reimbursements that do not fit utilities, repairs, damage, or another defined account. Review quarterly and record the underlying cost separately when applicable.","PUBLIC-ACCT-0159"
"Income","Deposit Forfeitures And Retained Deposit Income","4000.13","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Amounts from refundable deposits recognized only when legally and finally retained. Do not duplicate income when applying a deposit to an already-recorded receivable. Damage-related tax treatment may depend on whether the related repair is deducted; review at year-end.","PUBLIC-ACCT-0160"
"Income","Miscellaneous Rental Income","4000.14","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Infrequent tenant-derived rental income that cannot be classified more accurately. Review quarterly.","PUBLIC-ACCT-0177"
"Income","Utility Reimbursements","4000.20","Rental Income","Credit","Posting Account","Active","Conditional – Use Only When Signed Lease Requires Reimbursement","Schedule E – Rental Income","Tenant reimbursements for landlord-paid water, sewer, electricity, gas, trash, internet, or similar utilities. Record the landlord-paid utility cost separately in the applicable Utilities expense account.","PUBLIC-ACCT-0182"
"Income","Other Fees","4906","","Credit","Zoho System / Verify Workflow","Active","Keep Active – System / Verify Workflow","System / Tax Mapping Review","Zoho fee-income control whose exact system function must be verified by Account ID. Do not use for refundable deposits, deposit refunds, rent, or routine tenant fees already assigned to 4000.10 children.","PUBLIC-ACCT-0011"
"Other Current Liability","Unearned Rent Revenue","2600","","Credit","Zoho System / Book-Tax Control","Active","Keep Active – Book-Tax / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho standalone book-basis liability for rent received before the rental period is earned. Normal balance is credit. Federal tax generally includes advance rent when received, so provide the year-end balance to the tax preparer for a book-tax adjustment. Do not use for refundable deposits.","PUBLIC-ACCT-0020"
"Income","Other Charges","4904","","Credit","Zoho System Control","Active","Keep Active – System / Verify Workflow","Zoho System Control – Tax Review if Nonzero","Zoho system account for invoice adjustments and miscellaneous positive charges. Leave standalone and do not use for rent or routine tenant-fee items.","PUBLIC-ACCT-0012"
"Income","Pet Deposits","4300.02","Other Charges","Credit","Inactive / Historical","Inactive","Keep Inactive – Legacy / Zero / Unmapped","System / Tax Mapping Review","Inactive legacy deposit-income account. Verify zero/remapped history and remove all item and automation mappings. Refundable deposits belong in 2200.03; legally retained amounts belong in 4000.13.","PUBLIC-ACCT-0114"
"Income","Security Deposit","4300.03","Other Charges","Credit","Inactive / Historical","Inactive","Keep Inactive – Legacy / Zero / Unmapped","System / Tax Mapping Review","Inactive legacy deposit-income account. Verify zero/remapped history and remove all item and automation mappings. Refundable deposits belong in 2200.03; legally retained amounts belong in 4000.13.","PUBLIC-ACCT-0115"
"Income","Other Refunds","4905","","Debit","Zoho System / Verify Workflow","Active","Keep Active – System / Verify Workflow","System / Tax Mapping Review","Zoho refund control account. Normal balance is debit when used as contra-revenue. Use only through the intended refund workflow, keep separate from tenant-deposit refunds, and review or clear unexpected balances.","PUBLIC-ACCT-0013"
"Income","Discounts","4901","","Debit","Zoho System / Verify Workflow","Active","Keep Active – System / Reconcile","System / Tax Mapping Review","Zoho system contra-revenue account for invoice discounts. Normal balance is debit even though Zoho classifies it as Income. Use only through the invoice discount field and review balances at year-end.","PUBLIC-ACCT-0014"
"Expense","Exchange Gain Or Loss","8000","","Normally Zero / Mixed","Zoho System / Net Gain-Loss","Active","Keep Active – System / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system account for realized or transaction exchange-rate gains and losses. Credit balances represent gains and debit balances represent losses. Keep one combined standalone account and let Zoho post exchange adjustments automatically.","PUBLIC-ACCT-0015"
"Other Expense","ZZ – Reserved Zoho Other Expense (Do Not Use)","8099","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","PUBLIC-ACCT-0016"
"Income","Shipping Charges","4902","","Credit","Zoho System / Verify Workflow","Active","Keep Active – System / Zero","System / Tax Mapping Review","Records freight or shipping charges collected from customers as part of sales transactions.","PUBLIC-ACCT-0023"
"Expense","Purchase Adjustments","5900","","Normally Zero / Mixed","Zoho System Control","Active","Keep Active – System / Verify Workflow","Zoho System Control – Tax Review if Nonzero","Zoho control account for transaction-level purchase adjustments entered on bills or vendor credits. Keep standalone and let Zoho workflows post to it. Vendor credits should otherwise reverse the original expense or asset account. Do not use as a routine rental expense.","PUBLIC-ACCT-0017"
"Other Current Asset","Employee Advance","1391","","Debit","Zoho System / Conditional","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho default account for documented advances to employees. GH currently has no employees; leave at zero. Do not use for the member, whose amounts belong in Due from Member or member equity as facts require.","PUBLIC-ACCT-0027"
"Other Current Liability","Opening Balance Adjustments","2400","","Normally Zero / Mixed","Zoho System / Migration","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho migration-control account. Investigate and clear the balance after opening balances are fully entered and reconciled; do not use for ordinary transactions.","PUBLIC-ACCT-0019"
"Other Current Liability","Other Current Liabilities","2200","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for obligations expected to be settled in the normal operating cycle. Do not post directly.","PUBLIC-ACCT-0028"
"Other Current Liability","Tenant Deposits Held","2200.03","Other Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Single Zoho Retainer Invoice liability for refundable holding, security, and pet deposits. Credit when received; debit when refunded or validly applied. Track tenant, unit, lease, and deposit type in required Retainer custom fields and the deposit subledger.","PUBLIC-ACCT-0124"
"Other Current Liability","Due To Member / Reimbursements Payable","2200.01","Other Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Documented GH Real Estate expenses paid personally by the member and owed back by the business. Do not net against Due from Member; reconcile supporting receipts and reimbursements monthly.","PUBLIC-ACCT-0150"
"Other Current Liability","Accrued Expenses Payable","2200.02","Other Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Material expenses incurred but not yet billed or paid under accrual-basis reporting.","PUBLIC-ACCT-0151"
"Other Current Liability","Current Portion Of Mortgage Payable – 9401 Nieman Road","2200.04","Other Current Liabilities","Credit","Posting / Year-End Reclass","Active","Conditional – GAAP/Lender Current Classification","Balance Sheet / Not Direct Schedule E","Mortgage principal contractually due within 12 months after the balance-sheet date. Reclassify from 2800.01 at each GAAP reporting date; this is a liability reclassification, not an expense. Normal balance is credit.","PUBLIC-ACCT-0181"
"Expense","ZZ – Reserved Zoho Expense 02 (Do Not Use)","8096","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","PUBLIC-ACCT-0029"
"Other Liability","Accrued Expenses And Dimension Adjustments","2250","","Normally Zero / Mixed","Zoho System / Technical","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho technical account for dimension and reporting-tag adjustments. Keep standalone and ordinarily at zero; use Accrued Expenses Payable 2200.02 for genuine current accruals and investigate any balance here.","PUBLIC-ACCT-0030"
"Expense","ZZ – Reserved Zoho Expense 01 (Do Not Use)","8095","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","PUBLIC-ACCT-0018"
"Stock","Inventory Asset","1900","","Debit","Zoho System / Do Not Use","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho inventory-control account. GH Real Estate does not ordinarily use inventory accounting; leave at zero and do not record repairs, supplies, or fixed assets here.","PUBLIC-ACCT-0025"
"Cost Of Goods Sold","Cost Of Goods Sold","6998","","Debit","Posting Account","Active","Keep Active – System / Zero","System / Tax Mapping Review","Zoho system account for direct inventory costs. GH Real Estate does not ordinarily use inventory costing; leave at zero and do not post property operating costs here.","PUBLIC-ACCT-0026"
"Expense","ZZ – Reserved Zoho Expense 03 (Do Not Use)","8097","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","PUBLIC-ACCT-0031"
"Bank","GH Real Estate - Savings","1010","","Debit","Connected Bank / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Business savings account for operating reserves and planned property expenditures. Reconcile monthly.","PUBLIC-ACCT-0033"
"Bank","GH Real Estate - Checking","1000","","Debit","Connected Bank / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Primary operating bank account for rent receipts, mortgage payments, vendor payments, and ordinary property operations. Reconcile monthly.","PUBLIC-ACCT-0034"
"Bank","GH Real Estate - Money Market Savings","1020","","Debit","Connected Bank / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Business money-market account for interest-bearing reserves. Reconcile monthly and record earned interest separately.","PUBLIC-ACCT-0035"
"Expense","Cleaning And Maintenance","6020","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 7 – Cleaning and Maintenance","Schedule E Line 7 top-level parent. Do not post directly; use an applicable child account.","PUBLIC-ACCT-0040"
"Expense","Snow And Ice Removal","6020.04","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Plowing, shoveling, salting, and similar winter-property maintenance.","PUBLIC-ACCT-0070"
"Expense","Landscaping And Lawn Care","6020.03","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine mowing, trimming, leaf removal, mulching, and ordinary grounds care.","PUBLIC-ACCT-0071"
"Expense","Pest Control","6020.05","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine extermination and pest-prevention services.","PUBLIC-ACCT-0078"
"Expense","Cleaning And Janitorial Services","6020.01","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine common-area and occupied-unit cleaning services.","PUBLIC-ACCT-0079"
"Expense","Preventive HVAC Maintenance","6020.06","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine HVAC servicing, inspections, filter changes, and preventive care. Excludes repairs and replacements.","PUBLIC-ACCT-0080"
"Expense","Laundry Equipment Maintenance","6020.08","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine servicing and preventive maintenance of shared or in-unit laundry equipment.","PUBLIC-ACCT-0081"
"Expense","Gutter, Drainage And Exterior Maintenance","6020.07","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine gutter cleaning, drainage upkeep, window cleaning, staining, sealing, and similar non-repair maintenance.","PUBLIC-ACCT-0082"
"Expense","Vacancy Turnover Cleaning","6020.02","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Ordinary deep cleaning between tenant move-out and move-in. Excludes restoration or capital improvement work.","PUBLIC-ACCT-0109"
"Expense","Fire And Life-Safety Maintenance","6020.09","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine extinguisher inspections, alarm servicing, and other recurring safety-maintenance costs.","PUBLIC-ACCT-0121"
"Expense","Legal And Professional Fees","6050","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 10 – Legal and Professional","Schedule E Line 10 top-level parent. Do not post directly; use an applicable child account.","PUBLIC-ACCT-0041"
"Expense","Legal Fees","6050.01","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","Attorney and court-related costs for leases, collections, evictions, compliance, and rental disputes. Capitalize legal costs allocable to acquisition, title defense, or a capital improvement instead of expensing them here.","PUBLIC-ACCT-0088"
"Expense","Accounting And Tax Preparation Fees","6050.02","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","CPA, tax-preparation, and financial-reporting services allocable to rental activity.","PUBLIC-ACCT-0089"
"Expense","Consulting And Other Professional Fees","6050.04","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","Professional services that do not fit legal, accounting, bookkeeping, management, or capital-project costs.","PUBLIC-ACCT-0090"
"Expense","Bookkeeping Services","6050.03","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","Day-to-day bookkeeping, reconciliation, and accounting support services.","PUBLIC-ACCT-0092"
"Expense","Management Fees","6060","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 11 – Management Fees","Schedule E Line 11 top-level parent. Do not post directly; use an applicable child account.","PUBLIC-ACCT-0042"
"Expense","Property Management Fees","6060.01","Management Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 11 – Management Fees","Fees paid to an outside property manager for routine operation, tenant administration, and oversight.","PUBLIC-ACCT-0093"
"Expense","Repairs","6090","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 14 – Repairs","Schedule E Line 14 parent. Ordinary repairs may be expensed; betterments, restorations, adaptations, and entire-system replacements require capitalization review. Do not post directly.","PUBLIC-ACCT-0043"
"Expense","Plumbing Repairs","6090.03","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to pipes, drains, faucets, toilets, valves, supply lines, and related plumbing.","PUBLIC-ACCT-0096"
"Expense","Electrical Repairs","6090.04","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to outlets, switches, fixtures, wiring, panels, and other electrical components.","PUBLIC-ACCT-0097"
"Expense","Appliance Repairs","6090.01","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to refrigerators, ranges, dishwashers, and other appliances. Capital replacements require review.","PUBLIC-ACCT-0098"
"Expense","General Repairs","6090.09","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary repairs that cannot reasonably be assigned to another repair category. Excludes improvements requiring capitalization.","PUBLIC-ACCT-0099"
"Expense","Deck, Fence, Railing And Parking Repairs","6090.06","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary deck, fence, railing, walkway, and parking-surface repairs. Capitalize betterments, restorations, adaptations, and entire-system replacements when required; the facts control deductibility.","PUBLIC-ACCT-0100"
"Expense","Structural Repairs","6090.07","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary repairs to framing, foundations, walls, or structural components. Ordinary repair costs that keep the property in its normally efficient condition. Capitalize betterments, restorations, adaptations, and entire-system replacements instead of expensing them here.","PUBLIC-ACCT-0101"
"Expense","Roofing, Siding And Exterior Repairs","6090.05","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary roofing, siding, window, and exterior repairs. Capitalize betterments, restorations, adaptations, and entire-system replacements when required; the facts control deductibility.","PUBLIC-ACCT-0102"
"Expense","HVAC And Furnace Repairs","6090.02","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to furnaces, air conditioners, ductwork, thermostats, and related HVAC components.","PUBLIC-ACCT-0103"
"Expense","Laundry Equipment Repairs","6090.08","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Corrective repairs to shared or in-unit washers and dryers.","PUBLIC-ACCT-0108"
"Expense","Supplies","6100","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 15 – Supplies","Schedule E Line 15 top-level parent. Do not post directly; use an applicable child account.","PUBLIC-ACCT-0044"
"Expense","Office And Administrative Supplies","6100.04","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Paper, toner, envelopes, keys, labels, and other consumable administrative supplies.","PUBLIC-ACCT-0104"
"Expense","Cleaning Supplies","6100.01","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Consumable cleaners, disinfectants, gloves, paper products, and janitorial supplies.","PUBLIC-ACCT-0105"
"Expense","Maintenance Supplies And Consumables","6100.02","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Consumable maintenance items such as HVAC filters, bulbs, caulk, fasteners, patch materials, small replacement parts, tape, and similar supplies. Excludes janitorial supplies and capital equipment.","PUBLIC-ACCT-0106"
"Expense","Small Tools And Hardware","6100.03","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Low-cost tools and hardware expensed under GH's consistently applied capitalization policy. For federal tax, the $2,500 de minimis safe harbor requires an annual election and consistent book treatment; otherwise capitalize when required.","PUBLIC-ACCT-0166"
"Payment Clearing","Zoho Payments Clearing","1400","","Debit / Temporary","Payment Clearing / Reconcile","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Temporary account for Zoho Payments receipts awaiting settlement. Reconcile gross payments, fees, refunds, and bank deposits.","PUBLIC-ACCT-0045"
"Cash","Cash Refunds","1120","","Debit","Cash / Bank – Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Zoho cash-refund control account. Use only when a cash refund workflow requires it; otherwise issue refunds from the actual GH bank account. Do not use for security-deposit expense or income. Reconcile to zero.","PUBLIC-ACCT-0048"
"Credit Card","Personal Credit Card – Owner","2100","","Credit","Posting Account","Active","Review – Prefer Clear/Inactivate If Personal or Mixed-Use","Balance Sheet / Not Direct Schedule E","Balance due on the owner's business credit card used for property-related expenses.","PUBLIC-ACCT-0049"
"Bank","Owner - Savings","","","Debit","Cash / Bank – Reconcile","Active","Review – Prefer Clear, Disconnect, and Inactivate as Personal","Balance Sheet / Not Direct Schedule E","Personal owner bank feed. Do not treat the full bank balance as a GH asset. Reclassify supported GH activity, clear, disconnect, and inactivate unless legal ownership by GH is documented.","PUBLIC-ACCT-0050"
"Bank","Owner - Checking","","","Debit","Cash / Bank – Reconcile","Active","Review – Prefer Clear, Disconnect, and Inactivate as Personal","Balance Sheet / Not Direct Schedule E","Personal owner bank feed. Do not treat the full bank balance as a GH asset. Reclassify supported GH activity, clear, disconnect, and inactivate unless legal ownership by GH is documented.","PUBLIC-ACCT-0051"
"Bank","Sylvara.ai - Checking","","","Debit","Inactive / Historical","Inactive","Keep Inactive – Other Entity / Zero / Disconnect","Balance Sheet / Not Direct Schedule E","Other-entity bank feed. Keep inactive, zero, disconnected, and excluded from GH operating reports after historical reconciliation.","PUBLIC-ACCT-0052"
"Expense","Insurance","6040","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 9 – Insurance","Schedule E Line 9 top-level parent. Do not post directly; use an applicable child account.","PUBLIC-ACCT-0053"
"Expense","Liability And Umbrella Insurance","6040.02","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Premiums for general liability and umbrella coverage related to rental operations.","PUBLIC-ACCT-0086"
"Expense","Rent Loss Insurance","6040.03","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Premiums for coverage of qualifying lost rental income following a covered event.","PUBLIC-ACCT-0087"
"Expense","Mortgage Insurance","6040.04","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Mortgage insurance premiums separately charged in connection with rental-property financing.","PUBLIC-ACCT-0127"
"Expense","Property And Hazard Insurance","6040.01","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Premiums for property, casualty, and hazard coverage on rental property.","PUBLIC-ACCT-0129"
"Expense","Taxes","6110","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 16 – Taxes","Schedule E Line 16 top-level parent. Do not post directly; use an applicable child account.","PUBLIC-ACCT-0054"
