"Account Type","Account Name","Account Code","Parent Account","Normal Balance","Account Role","Live Zoho Status","Recommended Zoho Status","Tax / Reporting Mapping","Description","Existing Account ID"
"Other Current Liability","Unearned Rent Revenue","2600","","Credit","Zoho System / Book-Tax Control","Active","Keep Active – Book-Tax / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho standalone book-basis liability for rent received before the rental period is earned. Normal balance is credit. Federal tax generally includes advance rent when received, so provide the year-end balance to the tax preparer for a book-tax adjustment. Do not use for refundable deposits.","5858793000000005001"
"Income","Other Charges","4904","","Credit","Zoho System Control","Active","Keep Active – System / Verify Workflow","Zoho System Control – Tax Review if Nonzero","Zoho system account for invoice adjustments and miscellaneous positive charges. Leave standalone and do not use for rent or routine tenant-fee items.","5858793000000000394"
"Income","Pet Deposits","4300.02","Other Charges","Credit","Inactive / Historical","Inactive","Keep Inactive – Legacy / Zero / Unmapped","System / Tax Mapping Review","Inactive legacy deposit-income account. Verify zero/remapped history and remove all item and automation mappings. Refundable deposits belong in 2200.03; legally retained amounts belong in 4000.13.","5858793000000522677"
"Income","Security Deposit","4300.03","Other Charges","Credit","Inactive / Historical","Inactive","Keep Inactive – Legacy / Zero / Unmapped","System / Tax Mapping Review","Inactive legacy deposit-income account. Verify zero/remapped history and remove all item and automation mappings. Refundable deposits belong in 2200.03; legally retained amounts belong in 4000.13.","5858793000000522689"
"Income","Other Refunds","4905","","Debit","Zoho System / Verify Workflow","Active","Keep Active – System / Verify Workflow","System / Tax Mapping Review","Zoho refund control account. Normal balance is debit when used as contra-revenue. Use only through the intended refund workflow, keep separate from tenant-deposit refunds, and review or clear unexpected balances.","5858793000000000397"
"Income","Discounts","4901","","Debit","Zoho System / Verify Workflow","Active","Keep Active – System / Reconcile","System / Tax Mapping Review","Zoho system contra-revenue account for invoice discounts. Normal balance is debit even though Zoho classifies it as Income. Use only through the invoice discount field and review balances at year-end.","5858793000000000406"
"Expense","Exchange Gain Or Loss","8000","","Normally Zero / Mixed","Zoho System / Net Gain-Loss","Active","Keep Active – System / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system account for realized or transaction exchange-rate gains and losses. Credit balances represent gains and debit balances represent losses. Keep one combined standalone account and let Zoho post exchange adjustments automatically.","5858793000000000409"
"Other Expense","ZZ – Reserved Zoho Other Expense (Do Not Use)","8099","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","5858793000000000415"
"Income","Shipping Charges","4902","","Credit","Zoho System / Verify Workflow","Active","Keep Active – System / Zero","System / Tax Mapping Review","Records freight or shipping charges collected from customers as part of sales transactions.","5858793000000014001"
"Expense","Purchase Adjustments","5900","","Normally Zero / Mixed","Zoho System Control","Active","Keep Active – System / Verify Workflow","Zoho System Control – Tax Review if Nonzero","Zoho control account for transaction-level purchase adjustments entered on bills or vendor credits. Keep standalone and let Zoho workflows post to it. Vendor credits should otherwise reverse the original expense or asset account. Do not use as a routine rental expense.","5858793000000000439"
"Other Current Asset","Employee Advance","1391","","Debit","Zoho System / Conditional","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho default account for documented advances to employees. GH currently has no employees; leave at zero. Do not use for the member, whose amounts belong in Due from Member or member equity as facts require.","5858793000000035001"
"Other Current Liability","Opening Balance Adjustments","2400","","Normally Zero / Mixed","Zoho System / Migration","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho migration-control account. Investigate and clear the balance after opening balances are fully entered and reconciled; do not use for ordinary transactions.","5858793000000003001"
"Other Current Liability","Other Current Liabilities","2200","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for obligations expected to be settled in the normal operating cycle. Do not post directly.","5858793000000035003"
"Other Current Liability","Tenant Deposits Held","2200.03","Other Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Single Zoho Retainer Invoice liability for refundable holding, security, and pet deposits. Credit when received; debit when refunded or validly applied. Track tenant, unit, lease, and deposit type in required Retainer custom fields and the deposit subledger.","5858793000000756005"
"Other Current Liability","Due To Member / Reimbursements Payable","2200.01","Other Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Documented GH Real Estate expenses paid personally by the member and owed back by the business. Do not net against Due from Member; reconcile supporting receipts and reimbursements monthly.","5858793000003701119"
"Other Current Liability","Accrued Expenses Payable","2200.02","Other Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Material expenses incurred but not yet billed or paid under accrual-basis reporting.","5858793000003701123"
"Other Current Liability","Current Portion Of Mortgage Payable – 9401 Nieman Road","2200.04","Other Current Liabilities","Credit","Posting / Year-End Reclass","Active","Conditional – GAAP/Lender Current Classification","Balance Sheet / Not Direct Schedule E","Mortgage principal contractually due within 12 months after the balance-sheet date. Reclassify from 2800.01 at each GAAP reporting date; this is a liability reclassification, not an expense. Normal balance is credit.","5858793000003729013"
"Expense","ZZ – Reserved Zoho Expense 02 (Do Not Use)","8096","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","5858793000000035005"
"Other Liability","Accrued Expenses And Dimension Adjustments","2250","","Normally Zero / Mixed","Zoho System / Technical","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho technical account for dimension and reporting-tag adjustments. Keep standalone and ordinarily at zero; use Accrued Expenses Payable 2200.02 for genuine current accruals and investigate any balance here.","5858793000000045001"
"Expense","ZZ – Reserved Zoho Expense 01 (Do Not Use)","8095","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","5858793000000000460"
"Stock","Inventory Asset","1900","","Debit","Zoho System / Do Not Use","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho inventory-control account. GH Real Estate does not ordinarily use inventory accounting; leave at zero and do not record repairs, supplies, or fixed assets here.","5858793000000034001"
"Cost Of Goods Sold","Cost Of Goods Sold","6998","","Debit","Posting Account","Active","Keep Active – System / Zero","System / Tax Mapping Review","Zoho system account for direct inventory costs. GH Real Estate does not ordinarily use inventory costing; leave at zero and do not post property operating costs here.","5858793000000034003"
"Expense","ZZ – Reserved Zoho Expense 03 (Do Not Use)","8097","","Debit","Zoho Locked / Do Not Use","Active","Keep Active – Locked / Zero","Zoho System Control – Tax Review if Nonzero","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","5858793000000072001"
"Bank","GH Real Estate - Savings","1010","","Debit","Connected Bank / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Business savings account for operating reserves and planned property expenditures. Reconcile monthly.","5858793000000096011"
"Bank","GH Real Estate - Checking","1000","","Debit","Connected Bank / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Primary operating bank account for rent receipts, mortgage payments, vendor payments, and ordinary property operations. Reconcile monthly.","5858793000000096019"
"Bank","GH Real Estate - Money Market Savings","1020","","Debit","Connected Bank / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Business money-market account for interest-bearing reserves. Reconcile monthly and record earned interest separately.","5858793000000096027"
"Expense","Cleaning And Maintenance","6020","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 7 – Cleaning and Maintenance","Schedule E Line 7 top-level parent. Do not post directly; use an applicable child account.","5858793000000110079"
"Expense","Snow And Ice Removal","6020.04","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Plowing, shoveling, salting, and similar winter-property maintenance.","5858793000000511947"
"Expense","Landscaping And Lawn Care","6020.03","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine mowing, trimming, leaf removal, mulching, and ordinary grounds care.","5858793000000511955"
"Expense","Pest Control","6020.05","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine extermination and pest-prevention services.","5858793000000520186"
"Expense","Cleaning And Janitorial Services","6020.01","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine common-area and occupied-unit cleaning services.","5858793000000520199"
"Expense","Preventive HVAC Maintenance","6020.06","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine HVAC servicing, inspections, filter changes, and preventive care. Excludes repairs and replacements.","5858793000000520207"
"Expense","Laundry Equipment Maintenance","6020.08","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine servicing and preventive maintenance of shared or in-unit laundry equipment.","5858793000000520223"
"Expense","Gutter, Drainage And Exterior Maintenance","6020.07","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine gutter cleaning, drainage upkeep, window cleaning, staining, sealing, and similar non-repair maintenance.","5858793000000520252"
"Expense","Vacancy Turnover Cleaning","6020.02","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Ordinary deep cleaning between tenant move-out and move-in. Excludes restoration or capital improvement work.","5858793000000520872"
"Expense","Fire And Life-Safety Maintenance","6020.09","Cleaning And Maintenance","Debit","Posting Account","Active","Keep Active","Schedule E Line 7 – Cleaning and Maintenance","Routine extinguisher inspections, alarm servicing, and other recurring safety-maintenance costs.","5858793000000524420"
"Expense","Legal And Professional Fees","6050","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 10 – Legal and Professional","Schedule E Line 10 top-level parent. Do not post directly; use an applicable child account.","5858793000000110103"
"Expense","Legal Fees","6050.01","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","Attorney and court-related costs for leases, collections, evictions, compliance, and rental disputes. Capitalize legal costs allocable to acquisition, title defense, or a capital improvement instead of expensing them here.","5858793000000520425"
"Expense","Accounting And Tax Preparation Fees","6050.02","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","CPA, tax-preparation, and financial-reporting services allocable to rental activity.","5858793000000520433"
"Expense","Consulting And Other Professional Fees","6050.04","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","Professional services that do not fit legal, accounting, bookkeeping, management, or capital-project costs.","5858793000000520441"
"Expense","Bookkeeping Services","6050.03","Legal And Professional Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 10 – Legal and Professional","Day-to-day bookkeeping, reconciliation, and accounting support services.","5858793000000520457"
"Expense","Management Fees","6060","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 11 – Management Fees","Schedule E Line 11 top-level parent. Do not post directly; use an applicable child account.","5858793000000110109"
"Expense","Property Management Fees","6060.01","Management Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 11 – Management Fees","Fees paid to an outside property manager for routine operation, tenant administration, and oversight.","5858793000000520465"
"Expense","Repairs","6090","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 14 – Repairs","Schedule E Line 14 parent. Ordinary repairs may be expensed; betterments, restorations, adaptations, and entire-system replacements require capitalization review. Do not post directly.","5858793000000110157"
"Expense","Plumbing Repairs","6090.03","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to pipes, drains, faucets, toilets, valves, supply lines, and related plumbing.","5858793000000520537"
"Expense","Electrical Repairs","6090.04","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to outlets, switches, fixtures, wiring, panels, and other electrical components.","5858793000000520545"
"Expense","Appliance Repairs","6090.01","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to refrigerators, ranges, dishwashers, and other appliances. Capital replacements require review.","5858793000000520553"
"Expense","General Repairs","6090.09","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary repairs that cannot reasonably be assigned to another repair category. Excludes improvements requiring capitalization.","5858793000000520561"
"Expense","Deck, Fence, Railing And Parking Repairs","6090.06","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary deck, fence, railing, walkway, and parking-surface repairs. Capitalize betterments, restorations, adaptations, and entire-system replacements when required; the facts control deductibility.","5858793000000520616"
"Expense","Structural Repairs","6090.07","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary repairs to framing, foundations, walls, or structural components. Ordinary repair costs that keep the property in its normally efficient condition. Capitalize betterments, restorations, adaptations, and entire-system replacements instead of expensing them here.","5858793000000520640"
"Expense","Roofing, Siding And Exterior Repairs","6090.05","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Ordinary roofing, siding, window, and exterior repairs. Capitalize betterments, restorations, adaptations, and entire-system replacements when required; the facts control deductibility.","5858793000000520648"
"Expense","HVAC And Furnace Repairs","6090.02","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Repairs to furnaces, air conditioners, ductwork, thermostats, and related HVAC components.","5858793000000520664"
"Expense","Laundry Equipment Repairs","6090.08","Repairs","Debit","Posting Account","Active","Keep Active","Schedule E Line 14 – Repairs","Corrective repairs to shared or in-unit washers and dryers.","5858793000000520849"
"Expense","Supplies","6100","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 15 – Supplies","Schedule E Line 15 top-level parent. Do not post directly; use an applicable child account.","5858793000000110171"
"Expense","Office And Administrative Supplies","6100.04","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Paper, toner, envelopes, keys, labels, and other consumable administrative supplies.","5858793000000520772"
"Expense","Cleaning Supplies","6100.01","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Consumable cleaners, disinfectants, gloves, paper products, and janitorial supplies.","5858793000000520780"
"Expense","Maintenance Supplies And Consumables","6100.02","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Consumable maintenance items such as HVAC filters, bulbs, caulk, fasteners, patch materials, small replacement parts, tape, and similar supplies. Excludes janitorial supplies and capital equipment.","5858793000000520788"
"Expense","Small Tools And Hardware","6100.03","Supplies","Debit","Posting Account","Active","Keep Active","Schedule E Line 15 – Supplies","Low-cost tools and hardware expensed under GH's consistently applied capitalization policy. For federal tax, the $2,500 de minimis safe harbor requires an annual election and consistent book treatment; otherwise capitalize when required.","5858793000003706477"
"Payment Clearing","Zoho Payments Clearing","1400","","Debit / Temporary","Payment Clearing / Reconcile","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Temporary account for Zoho Payments receipts awaiting settlement. Reconcile gross payments, fees, refunds, and bank deposits.","5858793000000206017"
"Cash","Cash Refunds","1120","","Debit","Cash / Bank – Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Zoho cash-refund control account. Use only when a cash refund workflow requires it; otherwise issue refunds from the actual GH bank account. Do not use for security-deposit expense or income. Reconcile to zero.","5858793000000421003"
"Credit Card","Personal Credit Card – Owner","2100","","Credit","Posting Account","Active","Review – Prefer Clear/Inactivate If Personal or Mixed-Use","Balance Sheet / Not Direct Schedule E","Balance due on the owner's business credit card used for property-related expenses.","5858793000000435013"
"Bank","Owner - Savings","","","Debit","Cash / Bank – Reconcile","Active","Review – Prefer Clear, Disconnect, and Inactivate as Personal","Balance Sheet / Not Direct Schedule E","Personal owner bank feed. Do not treat the full bank balance as a GH asset. Reclassify supported GH activity, clear, disconnect, and inactivate unless legal ownership by GH is documented.","5858793000000435023"
"Bank","Owner - Checking","","","Debit","Cash / Bank – Reconcile","Active","Review – Prefer Clear, Disconnect, and Inactivate as Personal","Balance Sheet / Not Direct Schedule E","Personal owner bank feed. Do not treat the full bank balance as a GH asset. Reclassify supported GH activity, clear, disconnect, and inactivate unless legal ownership by GH is documented.","5858793000000435033"
"Bank","Sylvara.ai - Checking","","","Debit","Inactive / Historical","Inactive","Keep Inactive – Other Entity / Zero / Disconnect","Balance Sheet / Not Direct Schedule E","Other-entity bank feed. Keep inactive, zero, disconnected, and excluded from GH operating reports after historical reconciliation.","5858793000000435209"
"Expense","Insurance","6040","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 9 – Insurance","Schedule E Line 9 top-level parent. Do not post directly; use an applicable child account.","5858793000000510969"
"Expense","Liability And Umbrella Insurance","6040.02","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Premiums for general liability and umbrella coverage related to rental operations.","5858793000000520377"
"Expense","Rent Loss Insurance","6040.03","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Premiums for coverage of qualifying lost rental income following a covered event.","5858793000000520409"
"Expense","Mortgage Insurance","6040.04","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Mortgage insurance premiums separately charged in connection with rental-property financing.","5858793000000832013"
"Expense","Property And Hazard Insurance","6040.01","Insurance","Debit","Posting Account","Active","Keep Active","Schedule E Line 9 – Insurance","Premiums for property, casualty, and hazard coverage on rental property.","5858793000000832025"
"Expense","Taxes","6110","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 16 – Taxes","Schedule E Line 16 top-level parent. Do not post directly; use an applicable child account.","5858793000000511041"
"Expense","State And Local Business Taxes","6110.02","Taxes","Debit","Posting Account","Active","Keep Active","Schedule E Line 16 – Taxes","Deductible state or local business taxes other than property tax. Excludes owner income taxes and government penalties.","5858793000000520820"
"Expense","Property Taxes - 9401 Nieman Road","6110.01","Taxes","Debit","Posting Account","Active","Keep Active","Schedule E Line 16 – Taxes","Real-estate taxes assessed on 9401 Nieman Road, including amounts paid by the mortgage servicer from escrow.","5858793000000832019"
"Expense","Auto And Travel","6010","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 6 – Auto and Travel","Schedule E Line 6 top-level parent for documented rental-business vehicle and travel costs. Do not post directly. Travel primarily to acquire or improve property is capitalized rather than deducted.","5858793000000511508"
"Expense","Airfare, Lodging, Car Rental and Ground Transportation","6010.03","Auto And Travel","Debit","Posting Account","Active","Keep Active","Schedule E Line 6 – Auto and Travel","Necessary, substantiated rental-business travel away from the normal business area. Exclude personal portions; costs primarily to acquire or improve property are capitalized.","5858793000000032023"
"Expense","Business Mileage","6010.01","Auto And Travel","Debit","Posting Account","Active","Keep Active","Schedule E Line 6 – Auto and Travel","Substantiated rental-business mileage using the applicable standard mileage method when eligible. Maintain contemporaneous mileage records and do not also deduct duplicative actual vehicle costs.","5858793000000511602"
